FID,SUBNAME,SUBSTATION,MIN_KV,MAX_KV,NUMBANKS,REDACTED,OBJECTID,UNGROUNDED
412,NORCO,25469,12.000000000000000,115.000000000000000,1.000000000000000,Yes,65030,None
413,WEEDPATCH,25297,12.000000000000000,70.000000000000000,1.000000000000000,Yes,65031,None
414,OLD RIVER,25282,12.000000000000000,70.000000000000000,2.000000000000000,Yes,65032,None
415,TEMBLOR,25255,12.000000000000000,115.000000000000000,1.000000000000000,Yes,65033,None
416,SHAFTER,25365,12.000000000000000,115.000000000000000,2.000000000000000,Yes,65034,None
417,MAGUNDEN,25277,12.000000000000000,115.000000000000000,2.000000000000000,Yes,65035,None
418,STANISLAUS,16282,17.000000000000000,115.000000000000000,1.000000000000000,No,65036,2
419,BIOLA,25221,12.000000000000000,70.000000000000000,1.000000000000000,Yes,65037,None
420,CORCORAN,25217,12.000000000000000,115.000000000000000,2.000000000000000,Yes,65218,None
421,FRENCH CAMP,16329,12.000000000000000,60.000000000000000,2.000000000000000,Yes,65225,None
422,FROGTOWN,16345,17.000000000000000,115.000000000000000,2.000000000000000,No,65226,"1,2"
423,IONE,16388,12.000000000000000,60.000000000000000,1.000000000000000,No,65227,1
424,LAMMERS,16277,12.000000000000000,115.000000000000000,2.000000000000000,Yes,65228,None
425,LOCKEFORD,16368,21.000000000000000,115.000000000000000,1.000000000000000,Yes,65229,None
426,MARTELL,16301,12.000000000000000,60.000000000000000,1.000000000000000,No,65230,None
427,METTLER,16370,12.000000000000000,60.000000000000000,1.000000000000000,Yes,65231,3
428,RIO BRAVO,25286,12.000000000000000,115.000000000000000,2.000000000000000,Yes,65232,None
429,ROSEDALE,25476,12.000000000000000,115.000000000000000,1.000000000000000,No,65233,None
430,SEMITROPIC,25290,12.000000000000000,115.000000000000000,1.000000000000000,Yes,65234,None
431,MIDDLE RIVER,16209,12.000000000000000,60.000000000000000,1.000000000000000,Yes,65235,None
432,MORMON,16321,12.000000000000000,60.000000000000000,1.000000000000000,Yes,65236,1
433,NEW HOPE,16208,12.000000000000000,60.000000000000000,1.000000000000000,Yes,65237,1
434,PINE GROVE,16375,12.000000000000000,60.000000000000000,2.000000000000000,Yes,65238,"1,2"
435,SALT SPRINGS,16369,21.000000000000000,11.000000000000000,1.000000000000000,Yes,65239,None
436,ANTELOPE,25202,12.000000000000000,70.000000000000000,1.000000000000000,Yes,65240,1
437,PLEASANT HILL,1330,4.000000000000000,21.000000000000000,1.000000000000000,Yes,434152,None
438,GEARY,1359,4.000000000000000,21.000000000000000,1.000000000000000,Yes,434153,None
439,LAS AROMAS,1360,4.000000000000000,12.000000000000000,1.000000000000000,Yes,434154,None
440,WAYNE,1381,4.000000000000000,21.000000000000000,1.000000000000000,Yes,434155,None
