X,Y,SUBST_ID,SUB_NAME,SYS_NAME,SUB_TYPE,SUBSTATION_VOLTAGE,EXISTING_GEN,QUEUED_GEN,TOTAL_GEN,PROJECTED_LOAD,PENETRATION_LEVEL,MAX_REMAIN_CAP,NOTE,OBJECTID
-118.068314471612524,34.106083373419885,439,Temple,Mesa 220/66 System,D -- Distribution,16/4.16 kV,0.282,0,0.282,6.3,4.87,8.85,Interconnection studies in this area have identified adequate deliverability.,82
-117.987326094503061,34.13411639812611,440,Bradbury,Rio Hondo 220/66 System,D -- Distribution,66/16 kV,5.379,2.058,7.437,88.9,6.5,89.42,Interconnection studies in this area have identified adequate deliverability.,83
-118.128268067810652,34.006500483878227,443,Vail,Laguna Bell Ab 220/66 System,D -- Distribution,66/16 kV,3.927,0.714,4.641,100,5.16,101.24,Interconnection studies in this area have identified adequate deliverability.,84
-117.618149322249238,33.969727853405217,808,Kimball,Chino 220/66 System,D -- Distribution,66/12 kV,22.41,0.054,22.464,67.9,30.77,63.12,Interconnection studies in this area have identified adequate deliverability.,85
-118.081187419465493,34.122529170203656,448,Ravendale,Mesa 220/66 System,D -- Distribution,66/4.16 kV,3.352,1.091,4.444,8.9,6.27,13.44,Interconnection studies in this area have identified adequate deliverability.,86
-117.955141055077632,34.047493619092528,452,Bassett,Walnut 220/66 System,D -- Distribution,66/12 kV,6.264,1.062,7.326,81,9.01,73.7,Interconnection studies in this area have identified adequate deliverability.,87
-117.871868999717492,34.118831999459438,453,Citrus,Rio Hondo 220/66 System,D -- Distribution,66/12 kV,9.908,0.155,10.063,95.1,10.32,85.39,Interconnection studies in this area have identified adequate deliverability.,88
-117.879059345220298,34.092668773408086,454,Cortez,Walnut 220/66 System,D -- Distribution,66/12 kV,10.567,0.062,10.629,100.8,10.55,90.16,Interconnection studies in this area have identified adequate deliverability.,89
-117.933277722047123,34.113777954582154,456,Dalton,Rio Hondo 220/66 System,D -- Distribution,66/12 kV,17.46,7.465,24.925,54.3,26.85,41.42,Interconnection studies in this area have identified adequate deliverability.,90
-117.991460386680657,34.051233118059812,457,Industry,Walnut 220/66 System,D -- Distribution,66/12 kV,5.444,0.031,5.475,74.7,7.55,69.16,Interconnection studies in this area have identified adequate deliverability.,91
-117.926282999968805,34.087658000003266,458,Lark Ellen,Rio Hondo 220/66 System,D -- Distribution,66/12 kV,8.879,4.024,12.903,59.7,9.8,78.15,Interconnection studies in this area have identified adequate deliverability.,92
-117.906679498511423,34.049374439501882,459,Merced,Walnut 220/66 System,D -- Distribution,66/12 kV,21.368,0.371,21.738,61,35.79,40.56,Interconnection studies in this area have identified adequate deliverability.,93
-117.931373002590647,34.008906001933191,460,Puente,Walnut 220/66 System,D -- Distribution,66/12 kV,16.182,3.866,20.049,56,18.65,45.56,Interconnection studies in this area have identified adequate deliverability.,94
-117.887476221665949,33.997034106106653,461,Railroad,Walnut 220/66 System,D -- Distribution,66/12 kV,6.551,0.309,6.86,95.6,7.36,98.66,Interconnection studies in this area have identified adequate deliverability.,95
-118.397450687012977,34.073114374630357,462,Beverly,La Cienega 220/66 System,D -- Distribution,66/16 kV,3.821,0.715,4.536,138.3,2.56,139.66,Interconnection studies in this area have identified adequate deliverability.,96
-118.402664998503809,34.014597003389099,468,Culver,La Cienega 220/66 System,D -- Distribution,66/4.16 kV,8.3,0.928,9.229,21.1,9.52,20.5,Interconnection studies in this area have identified adequate deliverability.,97
-118.396535002802807,33.918899997077105,471,Sepulveda,El Nido 220/66 System,D -- Distribution,66/16 kV,7.625,3.469,11.095,69.4,5.92,84.74,Interconnection studies in this area have identified adequate deliverability.,98
-118.361023173995235,34.08962425484971,473,Fairfax,Eagle Rock 220/66 System,D -- Distribution,66/16 kV,0.635,0.702,1.337,76,0.75,77.83,Interconnection studies in this area have identified adequate deliverability.,99
-118.391570196585491,34.090397253031021,475,Doheny,La Cienega 220/66 System,D -- Distribution,16/4.16 kV,0.201,0,0.201,3.3,6.3,6.69,Interconnection studies in this area have identified adequate deliverability.,100
-118.307271002139615,33.922491001722754,476,Howard,La Fresa 220/66 System,D -- Distribution,66/4.16 kV,0.627,0.003,0.631,13.7,4.85,27.1,Interconnection studies in this area have identified adequate deliverability.,101
-118.357098621368465,33.966584247144304,477,Inglewood,El Nido 220/66 System,D -- Distribution,66/4.16 kV,1.012,13.322,14.334,10.1,3.5,18.26,Interconnection studies in this area have identified adequate deliverability.,102
-118.34658540223981,33.94225075471627,480,Lennox,El Nido 220/66 System,D -- Distribution,66/16 kV,5.391,0.009,5.4,44.7,11.04,39.86,Interconnection studies in this area have identified adequate deliverability.,103
-118.32409750921984,33.835333813240503,483,Madrid,La Fresa 220/66 System,D -- Distribution,16/4.16 kV,0.237,0,0.237,3.8,6.65,7.19,Interconnection studies in this area have identified adequate deliverability.,104
-118.398417718924733,33.878623051789504,484,Manhattan,La Fresa 220/66 System,D -- Distribution,16/4.16 kV,0.911,0.013,0.924,5.9,18.29,6.42,Interconnection studies in this area have identified adequate deliverability.,105
-118.46621116683059,34.007296362990694,485,Marine,La Cienega 220/66 System,D -- Distribution,66/16 kV,1.894,0.705,2.599,46.3,8.13,52.23,Interconnection studies in this area have identified adequate deliverability.,106
-118.309926564053256,33.883892616590771,486,Moneta,La Fresa 220/66 System,D -- Distribution,16/4.16 kV,5.485,0,5.485,9.5,5,14.4,Interconnection studies in this area have identified adequate deliverability.,107
-118.330312717312026,33.961198407759532,487,Morningside,El Nido 220/66 System,D -- Distribution,16/4.16 kV,0.273,0,0.273,5.2,5.77,5.7,Interconnection studies in this area have identified adequate deliverability.,108
-118.478789035180696,33.997885535897332,488,Ocean Park,La Cienega 220/66 System,D -- Distribution,16/4.16 kV,0.506,0.007,0.513,6,10.98,14.22,Interconnection studies in this area have identified adequate deliverability.,109
-118.389583375603607,34.059948668362246,489,Olympic,La Cienega 220/66 System,D -- Distribution,16/4.16 kV,0.326,0.01,0.336,10.4,3.73,10.29,Interconnection studies in this area have identified adequate deliverability.,110
-118.379065291199382,33.803860500970458,490,Palos Verdes,La Fresa 220/66 System,D -- Distribution,16/4.16 kV,0.47,0.013,0.483,4.9,11.38,6.88,Interconnection studies in this area have identified adequate deliverability.,111
-118.45865899250775,34.021978494543923,491,Pearl,La Cienega 220/66 System,D -- Distribution,16/4.16 kV,0.583,0.004,0.588,3.4,19.65,3.83,Interconnection studies in this area have identified adequate deliverability.,112
-118.348514657381671,33.865975985444756,492,Perry,La Fresa 220/66 System,D -- Distribution,16/4.16 kV,0.71,0,0.71,8.2,9.1,11.1,Interconnection studies in this area have identified adequate deliverability.,113
-118.312109855570952,33.90231083148128,493,Brighton,La Fresa 220/66 System,D -- Distribution,66/16 kV,1.834,0.021,1.855,44.8,4.74,42.68,Interconnection studies in this area have identified adequate deliverability.,114
-118.387590000513441,33.848172999731929,494,Redondo,La Fresa 220/66 System,D -- Distribution,16/4.16 kV,0.805,0,0.805,8.9,10,11.11,Interconnection studies in this area have identified adequate deliverability.,115
