CIRCUIT_NA,CIRCUIT_VO,AGR_PCT,COM_PCT,IND_PCT,RES_PCT,OTHER_PCT,GEN_ALLOC,GEN_QUE,TOTAL_GEN,SUBST_DISP,SYS_NAME,NOTE,OBJECTID,Shape__Len
Canehill,4,0,1,0,97,2,0.256,0,0.256,Lakewood 66/4 Kv,Del Amo 220/66 System,N/A,830,18313.57509212
Canet,16,0,11,0,76,14,0.244,0,0.244,Casitas 66/16 Kv,Santa Clara 220/66 System,N/A,831,115137.248217068
Courtland,16,0,13,0,77,10,0.035,0,0.035,Marine 66/16 Kv,La Cienega 220/66 System,N/A,832,14527.1753533973
Coyote,12,0,7,0,84,8,0.139,0,0.139,Somerset 66/12 Kv,Del Amo 220/66 System,N/A,833,33092.8957934972
Crabtree,16,0,9,0,87,5,0.436,0,0.436,Saugus 66/16 Kv,Saugus 220/66 System,N/A,834,92948.3088529941
Craftsman,12,0,69,0,9,17,0,0,0,Homart 115/12 Kv,Vista 220/115 System,N/A,835,15482.3102220981
Cranbrook,4,0,7,0,86,6,0.039,0,0.039,Yukon 66/4 Kv,La Fresa 220/66 System,N/A,836,13573.6025917195
Canning,16,0,54,1,0,42,0,0,0,Laguna Bell 66/16 Kv,Laguna Bell Ab 220/66 System,N/A,837,22961.0715404516
Canoe,12,0,10,0,82,8,0.5,0,0.5,Bolsa 66/12 Kv,Barre 220/66 System,N/A,838,77671.6506031774
Carfax,4,0,1,0,96,3,0.235,0,0.235,Lakewood 66/4 Kv,Del Amo 220/66 System,N/A,839,20595.9465021334
Crane,4,0,4,0,91,6,0.052,0,0.052,Compton 16/4 Kv,Lighthipe 220/66 System,N/A,840,25998.5590058371
Cribbage,12,0,57,2,4,36,0,0,0,Johanna 66/12 Kv,Johanna 220/66 System,N/A,841,25059.1769178823
Crocker,4,0,9,0,83,8,0.082,0,0.082,Sunny Dunes 33/4 Kv,Devers 220/115 System,N/A,842,10719.6772314207
Crockett,4,0,4,0,91,6,0.051,0,0.051,Graham 16/4 Kv,Laguna Bell De 220/66 System,N/A,843,20891.6399620421
Croft,12,0,8,0,85,8,0.841,0,0.841,Yucaipa 66/12 Kv,San Bernardino 220/66 System,N/A,844,57699.6296191956
Daffodil,12,0,18,0,77,5,0.35,0,0.35,Barre 66/12 Kv,Barre 220/66 System,N/A,845,51333.5738066893
Daggett,4,0,4,0,90,6,0.068,0,0.068,Hathaway 66/4 Kv,Alamitos 220/66 System,N/A,846,16542.0496442225
Daleside,16,0,8,0,86,7,0.661,0,0.661,Brighton 66/16 Kv,La Fresa 220/66 System,N/A,847,36378.6702309484
Daeley,4,0,3,0,90,7,0.036,0,0.036,Daeley P.T. 12/4 Kv,Center 220/66 System,N/A,848,1342.48763444283
Corsica,16,,,,,,0.636,0,0.636,Gonzales 66/16 Kv,Santa Clara 220/66 System,N/A,849,155783.282837502
Cortese,12,0,50,0,37,14,0.014,0,0.014,Morro 66/12 Kv,Santiago 220/66 System,N/A,850,17717.3611600887
Costello,33,0,0,0,0,0,0,0,0,Santa Rosa 115/33 Kv,Mirage 220/115 System,N/A,851,70621.01728905
Cory,16,0,24,0,59,23,0.047,0,0.047,Beverly 66/16 Kv,La Cienega 220/66 System,N/A,852,38376.9939399628
Cougar,12,0,2,0,91,8,0,0,0,Lampson 66/12 Kv,Barre 220/66 System,N/A,853,21005.5268133698
Cove,12,0,8,0,70,22,0.093,0,0.093,Cove 33/12 Kv,Devers 220/115 System,N/A,854,49800.5209480768
